id,symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,patterns
173,BTC-USDT,short,2024-12-17 11:00:00,107299.70,2024-12-17 12:00:00,106575.56,7.06,0.67,tp_hit,three_black_crows
174,BTC-USDT,long,2024-12-17 14:00:00,107503.70,2024-12-17 14:45:00,108297.82,7.73,0.74,tp_hit,three_white_soldiers
175,BTC-USDT,long,2024-12-17 20:00:00,106263.80,2024-12-17 22:45:00,105314.53,-9.36,-0.89,sl_hit,engulfing
176,BTC-USDT,short,2024-12-18 02:00:00,105401.30,2024-12-18 04:15:00,103864.14,15.26,1.46,tp_hit,doji|three_black_crows
177,BTC-USDT,short,2024-12-18 05:00:00,103719.60,2024-12-18 11:00:00,104707.86,-9.98,-0.95,sl_hit,three_black_crows
178,BTC-USDT,long,2024-12-18 08:00:00,104254.20,2024-12-18 16:15:00,103440.93,-8.17,-0.78,sl_hit,harami
179,BTC-USDT,short,2024-12-18 14:00:00,104507.00,2024-12-18 16:15:00,103583.39,9.25,0.88,tp_hit,three_black_crows
180,BTC-USDT,short,2024-12-18 23:00:00,100606.40,2024-12-19 10:30:00,102417.06,-18.84,-1.80,sl_hit,engulfing|evening_star
181,BTC-USDT,long,2024-12-19 11:00:00,102269.40,2024-12-19 13:30:00,101754.01,-5.27,-0.50,sl_hit,doji|three_white_soldiers
182,BTC-USDT,short,2024-12-19 14:00:00,102280.40,2024-12-19 14:45:00,101408.43,8.91,0.85,tp_hit,three_black_crows
183,BTC-USDT,short,2024-12-19 17:00:00,100286.90,2024-12-19 17:45:00,98120.43,22.59,2.16,tp_hit,engulfing
184,BTC-USDT,short,2024-12-20 05:00:00,97291.50,2024-12-20 08:45:00,95761.52,16.48,1.57,tp_hit,engulfing
185,BTC-USDT,short,2024-12-20 11:00:00,94081.10,2024-12-20 13:30:00,95531.91,-16.18,-1.54,sl_hit,three_black_crows
186,BTC-USDT,short,2024-12-20 20:00:00,97163.90,2024-12-20 21:00:00,95594.11,16.93,1.62,tp_hit,engulfing
188,BTC-USDT,long,2024-12-21 05:00:00,97740.80,2024-12-21 05:45:00,98318.09,6.20,0.59,tp_hit,three_white_soldiers
187,BTC-USDT,long,2024-12-20 23:00:00,97631.90,2024-12-21 07:30:00,99098.79,15.77,1.50,tp_hit,three_white_soldiers
189,BTC-USDT,short,2024-12-21 08:00:00,99007.50,2024-12-21 11:15:00,97880.14,11.98,1.14,tp_hit,engulfing|evening_star
190,BTC-USDT,short,2024-12-21 20:00:00,97857.40,2024-12-21 21:45:00,96763.60,11.77,1.12,tp_hit,shooting_star|engulfing
191,BTC-USDT,short,2024-12-22 02:00:00,97117.80,2024-12-22 04:45:00,96189.41,10.08,0.96,tp_hit,three_black_crows
192,BTC-USDT,long,2024-12-22 11:00:00,97209.30,2024-12-22 14:00:00,96634.83,-6.24,-0.59,sl_hit,shooting_star|three_white_soldiers
193,BTC-USDT,short,2024-12-22 14:00:00,96694.50,2024-12-22 14:15:00,95960.87,8.00,0.76,tp_hit,three_black_crows
195,BTC-USDT,long,2024-12-24 05:00:00,94479.20,2024-12-24 06:45:00,93882.71,-6.66,-0.63,sl_hit,three_white_soldiers
194,BTC-USDT,short,2024-12-24 02:00:00,93900.30,2024-12-24 13:15:00,94681.89,-8.78,-0.83,sl_hit,three_black_crows
196,BTC-USDT,long,2024-12-24 11:00:00,94150.00,2024-12-24 13:30:00,94983.51,9.34,0.89,tp_hit,morning_star
197,BTC-USDT,long,2024-12-24 17:00:00,98859.60,2024-12-24 19:45:00,97694.49,-12.43,-1.18,sl_hit,three_white_soldiers
198,BTC-USDT,short,2024-12-24 20:00:00,97593.30,2024-12-24 22:00:00,98577.81,-10.63,-1.01,sl_hit,three_black_crows
199,BTC-USDT,long,2024-12-25 02:00:00,97866.10,2024-12-25 10:15:00,98747.39,9.48,0.90,tp_hit,harami
200,BTC-USDT,short,2024-12-25 11:00:00,98742.40,2024-12-25 11:45:00,97803.14,10.02,0.95,tp_hit,evening_star
202,BTC-USDT,long,2024-12-25 20:00:00,99135.20,2024-12-25 21:30:00,98599.31,-5.70,-0.54,sl_hit,three_white_soldiers
201,BTC-USDT,long,2024-12-25 14:00:00,98504.50,2024-12-26 00:00:00,99823.39,14.12,1.34,tp_hit,three_white_soldiers
203,BTC-USDT,short,2024-12-26 02:00:00,99099.90,2024-12-26 07:30:00,97828.39,13.54,1.28,tp_hit,engulfing
204,BTC-USDT,short,2024-12-26 08:00:00,96703.50,2024-12-26 08:30:00,95786.59,10.02,0.95,tp_hit,three_black_crows
207,BTC-USDT,short,2024-12-26 20:00:00,95660.10,2024-12-27 04:00:00,96472.77,-8.98,-0.85,sl_hit,engulfing
205,BTC-USDT,long,2024-12-26 11:00:00,95704.10,2024-12-27 07:30:00,94767.21,-10.35,-0.98,sl_hit,morning_star
206,BTC-USDT,short,2024-12-26 17:00:00,96452.00,2024-12-27 07:30:00,94821.44,17.88,1.69,tp_hit,engulfing
208,BTC-USDT,long,2024-12-27 08:00:00,96039.90,2024-12-27 09:00:00,97227.64,13.08,1.24,tp_hit,harami
209,BTC-USDT,long,2024-12-27 11:00:00,96621.20,2024-12-27 14:30:00,95555.73,-11.67,-1.10,sl_hit,engulfing
210,BTC-USDT,short,2024-12-27 14:00:00,96150.00,2024-12-27 14:45:00,95329.82,9.03,0.85,tp_hit,three_black_crows
211,BTC-USDT,short,2024-12-27 23:00:00,94410.40,2024-12-28 14:15:00,95003.23,-6.65,-0.63,sl_hit,three_black_crows
212,BTC-USDT,short,2024-12-28 02:00:00,94594.60,2024-12-28 14:15:00,95036.93,-4.95,-0.47,sl_hit,engulfing
213,BTC-USDT,long,2024-12-28 11:00:00,94680.30,2024-12-28 14:15:00,95075.44,4.42,0.42,tp_hit,three_white_soldiers
216,BTC-USDT,short,2024-12-29 08:00:00,95179.50,2024-12-29 13:30:00,94821.13,3.98,0.38,tp_hit,engulfing
214,BTC-USDT,long,2024-12-29 02:00:00,95027.20,2024-12-29 14:15:00,94607.11,-4.68,-0.44,sl_hit,harami
215,BTC-USDT,short,2024-12-29 05:00:00,95123.10,2024-12-29 14:15:00,94698.92,4.72,0.45,tp_hit,evening_star
217,BTC-USDT,short,2024-12-29 14:00:00,94986.20,2024-12-29 14:15:00,94591.23,4.40,0.42,tp_hit,engulfing
218,BTC-USDT,long,2024-12-29 17:00:00,94093.70,2024-12-29 19:30:00,93410.10,-7.69,-0.73,sl_hit,harami
219,BTC-USDT,long,2024-12-29 20:00:00,93513.10,2024-12-30 01:30:00,94235.18,8.17,0.77,tp_hit,morning_star
220,BTC-USDT,long,2024-12-30 11:00:00,93541.10,2024-12-30 12:15:00,94124.96,6.61,0.62,tp_hit,hammer|engulfing
221,BTC-USDT,short,2024-12-30 14:00:00,92877.80,2024-12-30 14:45:00,91960.46,10.46,0.99,tp_hit,three_black_crows
222,BTC-USDT,short,2024-12-30 20:00:00,94783.10,2024-12-30 21:30:00,93257.09,17.07,1.61,tp_hit,doji|shooting_star
223,BTC-USDT,short,2024-12-30 23:00:00,92523.80,2024-12-31 08:15:00,93630.64,-12.70,-1.20,sl_hit,doji
224,BTC-USDT,short,2024-12-31 02:00:00,92507.80,2024-12-31 08:15:00,93146.61,-7.33,-0.69,sl_hit,doji
